Louvain_cluster,Cluster_Label,Cluster_Index,Celltype,Stage
13898,S14-epidermal - collagen,10,epidermal - collagen,S14
13899,S14-cement gland primordium,26,cement gland primordium,S14
13900,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13901,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13902,S14-epidermal - collagen,10,epidermal - collagen,S14
13903,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13904,S14-epidermal - collagen,10,epidermal - collagen,S14
13905,S14-somite,14,somite,S14
13906,S14-early neuron,2,early neuron,S14
13907,S14-Spemann organizer (endoderm),29,Spemann organizer (endoderm),S14
13908,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13909,S14-anterior placodal area,19,anterior placodal area,S14
13910,S14-epidermal - ctbs,11,epidermal - ctbs,S14
13911,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13912,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13913,S14-epidermal - ctbs,11,epidermal - ctbs,S14
13914,S14-somite,14,somite,S14
13915,S14-notoplate,5,notoplate,S14
13916,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13917,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13918,S14-ionocyte,21,ionocyte,S14
13919,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13920,S14-chordal neural plate,6,chordal neural plate,S14
13921,S14-chordal neural plate,6,chordal neural plate,S14
13922,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13923,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13924,S14-cement gland primordium,26,cement gland primordium,S14
13925,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13926,S14-chordal neural plate,6,chordal neural plate,S14
13927,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
13928,S14-epidermal - ctbs,11,epidermal - ctbs,S14
13929,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13930,S14-chordal neural plate,6,chordal neural plate,S14
13931,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13932,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13933,S14-anterior neural plate - fezf1,4,anterior neural plate - fezf1,S14
13934,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13935,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13936,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13937,S14-eye primordium,9,eye primordium,S14
13938,S14-neuroendocrine cell,22,neuroendocrine cell,S14
13939,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13940,S14-notoplate,5,notoplate,S14
13941,S14-epidermal - ctbs,11,epidermal - ctbs,S14
13942,S14-goblet cell,20,goblet cell,S14
13943,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13944,S14-somite,14,somite,S14
13945,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13946,S14-early neuron,2,early neuron,S14
13947,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13948,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13949,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13950,S14-posterior placodal area,18,posterior placodal area,S14
13951,S14-epidermal - collagen,10,epidermal - collagen,S14
13952,S14-small secretory cells,12,small secretory cells,S14
13953,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13954,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13955,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13956,S14-posterior placodal area,18,posterior placodal area,S14
13957,S14-posterior placodal area,18,posterior placodal area,S14
13958,S14-neural crest,24,neural crest,S14
13959,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
13960,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13961,S14-posterior placodal area,18,posterior placodal area,S14
13962,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13963,S14-chordal neural plate,6,chordal neural plate,S14
13964,S14-posterior placodal area,18,posterior placodal area,S14
13965,S14-tail bud,3,tail bud,S14
13966,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
13967,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13968,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13969,S14-endoderm,25,endoderm,S14
13970,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13971,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13972,S14-somite,14,somite,S14
13973,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13974,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13975,S14-epidermal - ctbs,11,epidermal - ctbs,S14
13976,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13977,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13978,S14-somite,14,somite,S14
13979,S14-early neuron,2,early neuron,S14
13980,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13981,S14-somite,14,somite,S14
13982,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
13983,S14-early neuron,2,early neuron,S14
13984,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13985,S14-cement gland primordium,26,cement gland primordium,S14
13986,S14-early neuron,2,early neuron,S14
13987,S14-chordal neural plate,6,chordal neural plate,S14
